Place,Magnitude,Date,Link
"15km W of Petrolia, CA",5.21,2020-03-18,https://earthquake.usgs.gov/earthquakes/eventpage/nc73355700
"246km S of Kangin, Indonesia",6.2,2020-03-18,https://earthquake.usgs.gov/earthquakes/eventpage/us60008hzl
"6km NNE of Magna, Utah",5.7,2020-03-18,https://earthquake.usgs.gov/earthquakes/eventpage/uu60363602
"158km WSW of Lata, Solomon Islands",5.5,2020-03-18,https://earthquake.usgs.gov/earthquakes/eventpage/us60008hml
"97km NNW of Sola, Vanuatu",6.1,2020-03-17,https://earthquake.usgs.gov/earthquakes/eventpage/us60008hkg
"142km N of Tobelo, Indonesia",5.4,2020-03-17,https://earthquake.usgs.gov/earthquakes/eventpage/us60008hkf
"172km E of Hihifo, Tonga",6,2020-03-17,https://earthquake.usgs.gov/earthquakes/eventpage/us60008h76
"53km NNW of Tome, Chile",5.6,2020-03-17,https://earthquake.usgs.gov/earthquakes/eventpage/us60008gzt
"195km SSE of Lata, Solomon Islands",5.1,2020-03-15,https://earthquake.usgs.gov/earthquakes/eventpage/us60008g8y
"95km WNW of Bandar 'Abbas, Iran",5.3,2020-03-15,https://earthquake.usgs.gov/earthquakes/eventpage/us60008g7m
"116km SW of Panenggoede, Indonesia",5.1,2020-03-15,https://earthquake.usgs.gov/earthquakes/eventpage/us60008g6f
"25km SW of Villa Comaltitlan, Mexico",5.1,2020-03-14,https://earthquake.usgs.gov/earthquakes/eventpage/us60008fuy
"298km NE of Raoul Island, New Zealand",6.3,2020-03-14,https://earthquake.usgs.gov/earthquakes/eventpage/us60008fl8
"4km SE of Puerto Armuelles, Panama",5.1,2020-03-13,https://earthquake.usgs.gov/earthquakes/eventpage/us60008euj
"86km ENE of Iquique, Chile",5.2,2020-03-12,https://earthquake.usgs.gov/earthquakes/eventpage/us60008eru
"107km WSW of San Nicolas, Philippines",5.2,2020-03-12,https://earthquake.usgs.gov/earthquakes/eventpage/us60008epc
"26km NNW of Nanao, Japan",5.3,2020-03-12,https://earthquake.usgs.gov/earthquakes/eventpage/us60008egj
"111km SE of Neiafu, Tonga",5.3,2020-03-12,https://earthquake.usgs.gov/earthquakes/eventpage/us60008e9x
"99km S of Wonosari, Indonesia",5.1,2020-03-12,https://earthquake.usgs.gov/earthquakes/eventpage/us60008e67
"112km SE of Neiafu, Tonga",5.3,2020-03-11,https://earthquake.usgs.gov/earthquakes/eventpage/us60008dwq
"70km S of Panguna, Papua New Guinea",5.3,2020-03-11,https://earthquake.usgs.gov/earthquakes/eventpage/us60008dpf
"134km SE of L'Esperance Rock, New Zealand",5.3,2020-03-10,https://earthquake.usgs.gov/earthquakes/eventpage/us60008dgf
"127km SW of Kuripan, Indonesia",5.5,2020-03-10,https://earthquake.usgs.gov/earthquakes/eventpage/us60008d51
"88km NNE of San Pedro de Atacama, Chile",5.1,2020-03-10,https://earthquake.usgs.gov/earthquakes/eventpage/us60008d4v
"209km NNW of Puerto Ayora, Ecuador",5.5,2020-03-10,https://earthquake.usgs.gov/earthquakes/eventpage/us60008d3z
"145km ENE of Luring, China",5.3,2020-03-09,https://earthquake.usgs.gov/earthquakes/eventpage/us60008clh
"156km NNE of Rumung, Micronesia",5.2,2020-03-09,https://earthquake.usgs.gov/earthquakes/eventpage/us60008cdq
"69km W of Petrolia, CA",5.77,2020-03-08,https://earthquake.usgs.gov/earthquakes/eventpage/nc73351710
